aphiaidaccepted;scientificnameaccepted;trait;phylum;scientificnameauthorship
163054;Chaetoceros didymus var. protuberans;phy;Ochrophyta;(H.S.Lauder) H.H.Gran & K.Yendo, 1914
163056;Chaetoceros difficilis;phy;Ochrophyta;Cleve, 1900
679262;Chaetoceros distans var. subsecunda;phy;Ochrophyta;Grunow in Van Heurck, 1883
157431;Chaetoceros diversus;phytoplankton;Ochrophyta;Cleve, 1873
160521;Chaetoceros eibenii;phytoplankton;Ochrophyta;Grunow, 1882
160522;Chaetoceros externus;phytoplankton;Ochrophyta;Gran, 1897
178194;Chaetoceros filiformis;phytoplankton;Ochrophyta;Meunier, 1910
149173;Chaetoceros fragilis;phytoplankton;Ochrophyta;Meunier, 1910
149624;Chaetoceros furcellatus;phy;Ochrophyta;Yendo, 1911
465524;Chaetoceros gracilis;phytoplankton;Ochrophyta;Pantocsek, 1892
163063;Chaetoceros holsaticus;phytoplankton;Ochrophyta;F.Sch¸tt, 1895
156613;Chaetoceros ingolfianus;phytoplankton;Ochrophyta;Ostenfeld, 1902
156615;Chaetoceros karianus;phytoplankton;Ochrophyta;Grunow, 1880
149228;Chaetoceros laciniosus;phytoplankton;Ochrophyta;F.Sch¸tt, 1895
160523;Chaetoceros lauderi;phytoplankton;Ochrophyta;Ralfs, 1864
156617;Chaetoceros lorenzianus;phytoplankton;Ochrophyta;Grunow, 1863
163098;Chaetoceros muelleri;phytoplankton;Ochrophyta;Lemmermann, 1898
418510;Chaetoceros neogracile;phytoplankton;Ochrophyta;S.L.VanLandingham, 1968
156619;Chaetoceros perpusillus;phytoplankton;Ochrophyta;Cleve, 1897
178185;Chaetoceros peruvianus;phytoplankton;Ochrophyta;Brightwell, 1856
163055;Chaetoceros protuberans;phytoplankton;Ochrophyta;Lauder, 1864
961873;Chaetoceros pseudobrevis;phytoplankton;Ochrophyta;Pavillard, 1911
149222;Chaetoceros pseudocrinitus;phytoplankton;Ochrophyta;Ostenfeld, 1901
178229;Chaetoceros pseudocurvisetus;phytoplankton;Ochrophyta;Mangin, 1910
149293;Chaetoceros radians;phytoplankton;Ochrophyta;F.Sch¸tt, 1895
163112;Chaetoceros radicans;phy;Ochrophyta;F.Sch¸tt, 1895
178201;Chaetoceros rostratus;phytoplankton;Ochrophyta;Ralfs, 1864
163118;Chaetoceros seiracanthus;phytoplankton;Ochrophyta;Gran, 1897
962003;Chaetoceros septentrionalis;phytoplankton;Ochrophyta;Cleve, 1896
149127;Chaetoceros similis;phytoplankton;Ochrophyta;Cleve, 1896
149294;Chaetoceros simplex;phytoplankton;Ochrophyta;Ostenfeld, 1902
163015;Chaetoceros simplex var. calcitrans;phytoplankton;Ochrophyta;Paulsen, 1905
149123;Chaetoceros socialis;phytoplankton;Ochrophyta;H.S.Lauder, 1864
163124;Chaetoceros socialis f. socialis;phytoplankton;Ochrophyta;Lauder, 1864
156621;Chaetoceros subtilis;phytoplankton;Ochrophyta;Cleve, 1896
163131;Chaetoceros subtilis var. subtilis;phytoplankton;Ochrophyta;Cleve, 1896
156623;Chaetoceros tenuissimus;phytoplankton;Ochrophyta;Meunier, 1913
149125;Chaetoceros teres;phytoplankton;Ochrophyta;Cleve, 1896
163150;Chaetoceros throndsenii var. throndsenii;phytoplankton;Ochrophyta;(Marino, Montresor & Zingone) Marino, Montresor & Zingone, 1991
163161;Chaetoceros tortissimus;phytoplankton;Ochrophyta;Gran, 1900
160524;Chaetoceros wighamii;phytoplankton;Ochrophyta;Brightwell, 1856
156625;Chaetoceros willei;phytoplankton;Ochrophyta;Gran, 1897
143995;Chaetomorpha;not;Chlorophyta;K¸tzing, 1845
145020;Chaetomorpha aerea;not;Chlorophyta;(Dillwyn) K¸tzing, 1849
145022;Chaetomorpha crassa;not;Chlorophyta;(C.Agardh) K¸tzing, 1845
145026;Chaetomorpha ligustica;not;Chlorophyta;(K¸tzing) K¸tzing, 1849
145027;Chaetomorpha linum;not;Chlorophyta;(O.F.M¸ller) K¸tzing, 1845
145028;Chaetomorpha litorea;not;Chlorophyta;Harvey, 1858
145029;Chaetomorpha melagonium;not;Chlorophyta;(F.Weber & D.Mohr) K¸tzing, 1845
497297;Chaetopteris plumosa;not;Ochrophyta;(Lyngbye) K¸tzing, 1843
144892;Characium marinum;not;Chlorophyta;Kjellman, 1883
233776;Chattonella;phytoplankton;Ochrophyta;B.Biecheler, 1936
233778;Chattonella antiqua;phytoplankton;Ochrophyta;(Y.Hada) C.Ono, 1980
233780;Chattonella marina;phytoplankton;Ochrophyta;(Subrahmanyan) Hara & Chihara, 1982
145336;Chilionema hispanicum;not;Ochrophyta;(Sauvageau) R.L.Fletcher, 1987
145337;Chilionema ocellatum;not;Ochrophyta;(K¸tzing) Kornmann, 1953
113553;Chilostomella oolina;foram;Foraminifera;Schwager, 1878
178583;Chlamydomonas;phy;Chlorophyta;Ehrenberg, 1833
144898;Chlorochytrium cohnii;not;Chlorophyta;E.P.Wright, 1877
144893;Chlorococcum submarinum;phy;Chlorophyta;≈lvik, 1934
144197;Chorda;not;Ochrophyta;Stackhouse, 1797
145722;Chorda filum;not;Ochrophyta;(Linnaeus) Stackhouse, 1797
375537;Chorda rigida;not;Ochrophyta;H.Kawai & Arai, 2001
143954;Chordaria;not;Ochrophyta;C.Agardh, 1817
144910;Chordaria flagelliformis;not;Ochrophyta;(O.F.M¸ller) C.Agardh, 1817
145887;Choristocarpus tenellus;not;Ochrophyta;Zanardini, 1860
249689;Chromulina;phy;Ochrophyta;L.Cienkowsky, 1870
146565;Chroococcus;cyano;Cyanobacteria;N‰geli, 1849
106281;Chroomonas;phytoplankton;Cryptophyta;Hansgirg, 1885
106292;Chroomonas baltica;phy;Cryptophyta;(J.B¸ttner) N.Carter, 1937
106295;Chroomonas vectensis;phytoplankton;Cryptophyta;N.Carter, 1937
711557;Chrysalogonium equisetiformis;foram;Foraminifera;(Schwager, 1866)
345461;Chrysamoeba;phy;Ochrophyta;Klebs, 1892
115090;Chrysochromulina;phytoplankton;Haptophyta;Lackey, 1939
115109;Chrysochromulina alifera;phytoplankton;Haptophyta;Parke & Manton, 1956
115126;Chrysochromulina parkeae;phytoplankton;Haptophyta;J.C.Green & Leadbeater, 1972
115128;Chrysochromulina pringsheimii;phytoplankton;Haptophyta;Parke & Manton, 1962
115129;Chrysochromulina spinifera;phytoplankton;Haptophyta;(Fournier) Pienaar & R.E.Norris, 1979
248110;Chrysococcus;phy;Ochrophyta;Klebs, 1892
837255;Chrysotila carterae;phy;Haptophyta;(Braarud & Fagerland) Andersen, Kim, Tittley & Yoon, 2014
615414;Chrysotila stipitata;phy;Haptophyta;Anand, 1936
112084;Cibicidoides;foram;Foraminifera;Thalmann, 1939
1027873;Cibicidoides bembix;foram;Foraminifera;(Marsson, 1878)
183063;Cibicidoides bradyi;foram;Foraminifera;(Trauth, 1918)
1027875;Cibicidoides dorsoconvexus;foram;Foraminifera;(Gavor-Biedowa, 1992)
112883;Cibicidoides kullenbergi;foram;Foraminifera;(Parker, 1953)
112884;Cibicidoides pachyderma;foram;Foraminifera;(Rzehak, 1886)
112890;Cibicidoides wuellerstorfi;foram;Foraminifera;(Schwager, 1866)
369492;Ciliophrys;phy;Ochrophyta;Cienkowski, 1876
595826;Citharina;foram;Foraminifera;d'Orbigny, 1839
143996;Cladophora;not;Chlorophyta;K¸tzing, 1843
145033;Cladophora albida;not;Chlorophyta;(Nees) Kutzing, 1843
145037;Cladophora coelothrix;not;Chlorophyta;K¸tzing, 1843
145042;Cladophora dalmatica;not;Chlorophyta;K¸tzing, 1843
145045;Cladophora flexuosa;not;Chlorophyta;(O.F.M¸ller) K¸tzing, 1843
145046;Cladophora fracta;not;Chlorophyta;(O.F.M¸ller ex Vahl) K¸tzing, 1843
145047;Cladophora globulina;not;Chlorophyta;(K¸tzing) K¸tzing, 1845
145048;Cladophora glomerata;not;Chlorophyta;(Linnaeus) K¸tzing, 1843
145049;Cladophora hutchinsiae;not;Chlorophyta;(Dillwyn) K¸tzing, 1845
145051;Cladophora laetevirens;not;Chlorophyta;(Dillwyn) K¸tzing, 1843
145052;Cladophora lehmanniana;not;Chlorophyta;(Lindenberg) K¸tzing, 1843
145054;Cladophora liniformis;not;Chlorophyta;K¸tzing, 1849
145060;Cladophora prolifera;not;Chlorophyta;(Roth) K¸tzing, 1843
157112;Cladophora refracta;not;Chlorophyta;K¸tzing, 1843
145062;Cladophora retroflexa;not;Chlorophyta;(Bonnemaison ex P.L.Crouan & H.M.Crouan) G.Hamel, 1929
145063;Cladophora ruchingeri;not;Chlorophyta;(C.Agardh) K¸tzing, 1845
145064;Cladophora rupestris;not;Chlorophyta;(Linnaeus) K¸tzing, 1843
145065;Cladophora sericea;not;Chlorophyta;(Hudson) K¸tzing, 1843
145069;Cladophora vadorum;not;Chlorophyta;(Areschoug) K¸tzing, 1849
145070;Cladophora vagabunda;not;Chlorophyta;(Linnaeus) Hoek, 1963
109509;Cladopyxis;phy;Myzozoa;Stein, 1883
144911;Cladosiphon contortus;not;Ochrophyta;(Thuret) Kylin, 1940
144916;Cladosiphon zosterae;not;Ochrophyta;(J.Agardh) Kylin, 1940
144271;Cladostephus;not;Ochrophyta;C.Agardh, 1817
145888;Cladostephus spongiosus;not;Ochrophyta;(Hudson) C.Agardh, 1817
340796;Cladostephus spongiosus f. verticillatus;not;Ochrophyta;(Lightfoot) Prud'homme van Reine, 1972
196804;Climacodium frauenfeldianum;phy;Ochrophyta;Grunow, 1868
178598;Coccolithus;phytoplankton;Haptophyta;E.H.L.Schwarz, 1894
555900;Coccolithus pelagicus f. hyalinus;phytoplankton;Haptophyta;(K.R.Gaarder & J.Markali) A.Kleijne, 1991
148989;Cocconeis;phytoplankton;Ochrophyta;C.G. Ehrenberg, 1837
163856;Cocconeis costata;phytoplankton;Ochrophyta;Gregory, 1855
163873;Cocconeis placentula var. placentula;phy;Ochrophyta;Ehrenberg, 1838
179573;Cocconeis pseudomarginata;phy;Ochrophyta;Gregory, 1857
149376;Cocconeis scutellum;phy;Ochrophyta;Ehrenberg, 1838
163880;Cocconeis scutellum var. scutellum;phy;Ochrophyta;Ehrenberg, 1838
109474;Cochlodinium;phytoplankton;Myzozoa;Sch¸tt, 1896
109762;Cochlodinium brandtii;phy;Myzozoa;Wulff, 1916
109766;Cochlodinium helicoides;phytoplankton;Myzozoa;Lebour, 1925
109767;Cochlodinium helix;phytoplankton;Myzozoa;(Pouchet) Lemmermann, 1899
109773;Cochlodinium pupa;phy;Myzozoa;Lebour, 1925
109774;Cochlodinium schuettii;phy;Myzozoa;Kofoid & Swezy, 1921
109776;Cochlodinium vinctum;phy;Myzozoa;Kofoid & Swezy, 1921
162546;Codiolum;not;Chlorophyta;A.Braun, 1855
143999;Codium;not;Chlorophyta;Stackhouse, 1797
145078;Codium adhaerens;not;Chlorophyta;C.Agardh, 1822
145079;Codium bursa;not;Chlorophyta;(Olivi) C.Agardh, 1817
145086;Codium fragile;not;Chlorophyta;(Suringar) Hariot, 1889
232219;Codium fragile subsp. atlanticum;not;Chlorophyta;(A.D.Cotton) P.C.Silva, 1955
370562;Codium fragile subsp. fragile;not;Chlorophyta;(Suringar) Hariot, 1889
145092;Codium tomentosum;not;Chlorophyta;Stackhouse, 1797
145093;Codium vermilara;not;Chlorophyta;(Olivi) Delle Chiaje, 1829
150203;Codonella;phy;Ciliophora;Haeckel, 1873
204197;Codonellopsis;not;Ciliophora;Jˆrgensen, 1924
160550;Coelastrum;phy;Chlorophyta;N‰geli, 1849
160568;Coelomoron;cyano;Cyanobacteria;Buell, 1938
160569;Coelomoron pusillum;cyano;Cyanobacteria;(Van Goor) Kom·rek, 1988
146573;Coelosphaerium;cyano;Cyanobacteria;N‰geli, 1849
145856;Colpomenia peregrina;not;Ochrophyta;Sauvageau, 1927
145857;Colpomenia sinuosa;not;Ochrophyta;(Mertens ex Roth) DerbËs & Solier, 1851
567048;Commation;not;Ochrophyta;Thomsen & Larsen, 1993
145858;Compsonema microspongium;not;Ochrophyta;(Batters) Kornmann, 1953
145859;Compsonema minutum;not;Ochrophyta;(C.Agardh) Kuckuck, 1953
371109;Compsonema saxicola;not;Ochrophyta;(Kuckuck) Kuckuck, 1953
110130;Coolia monotis;phytoplankton;Myzozoa;Meunier, 1919
149109;Corethron;phytoplankton;Ochrophyta;A.F. Castracane, 1886
149110;Corethron criophilum;phytoplankton;Ochrophyta;Castracane, 1886
179596;Corethron hystrix;phytoplankton;Ochrophyta;Hensen, 1887
341496;Corethron pennatum;phytoplankton;Ochrophyta;(Grunow) Ostenfeld, 1909
112006;Cornuspira;foram;Foraminifera;Schultze, 1854
235934;Coronosphaera;phy;Haptophyta;Gaarder, 1977
235944;Coronosphaera mediterranea;phy;Haptophyta;(Lohmann) Gaarder, 1977
162518;Corymbellus;phytoplankton;Haptophyta;J.C.Green, 1976
162519;Corymbellus aureus;phytoplankton;Haptophyta;J.C.Green, 1976
144947;Corynophlaea crispa;not;Ochrophyta;(Harvey) Kuckuck, 1929
761309;Coryphostoma plaitum;foram;Foraminifera;(Carsey, 1926)
909770;Coryphostomella lublinensis;foram;Foraminifera;Gawor-Biedowa, 1987
109527;Corythodinium;phytoplankton;Myzozoa;Loeblich Jr. & Loeblich III, 1966
233754;Corythodinium curvicaudatum;phy;Myzozoa;(Kofoid) F.J.R.Taylor, 1976
450729;Coscinodiscopsis commutata;phytoplankton;Ochrophyta;(Grunow) E.A.Sar & I.Sunesen, 2008
450730;Coscinodiscopsis jonesiana;phytoplankton;Ochrophyta;(Greville) E.A.Sar & I.Sunesen, 2008
148917;Coscinodiscus;phytoplankton;Ochrophyta;C.G. Ehrenberg, 1839
969435;Coscinodiscus angstii var. angstii;phytoplankton;Ochrophyta;Gran in Gran & Angst, 1931
964359;Coscinodiscus angustelineatus;phy;Ochrophyta;Schmidt in Schmidt et al., 1878
149274;Coscinodiscus asteromphalus;phy;Ochrophyta;Ehrenberg, 1844
149159;Coscinodiscus centralis;phy;Ochrophyta;Ehrenberg, 1844
148991;Coscinodiscus commutatus;phytoplankton;Ochrophyta;Grunow, 1884
148992;Coscinodiscus concinnus;phytoplankton;Ochrophyta;W.Smith, 1856
149266;Coscinodiscus curvatulus;phytoplankton;Ochrophyta;Grunow ex A.Schmidt, 1878
149271;Coscinodiscus granii;phytoplankton;Ochrophyta;Gough, 1905
969455;Coscinodiscus lacustris var. pelagica;phytoplankton;Ochrophyta;Cleve-Euler, 1937
156629;Coscinodiscus marginatus;phy;Ochrophyta;Ehrenberg, 1844
984031;Coscinodiscus nitidus f. nitidus;phy;Ochrophyta;Gregory, 1857
148930;Coscinodiscus nodulolineatus;phytoplankton;Ochrophyta;Hendey, 1958
341484;Coscinodiscus oculus-iridis;phytoplankton;Ochrophyta;(Ehrenberg) Ehrenberg, 1840
149307;Coscinodiscus pavillardii;phytoplankton;Ochrophyta;Forti, 1922
149272;Coscinodiscus perforatus;phytoplankton;Ochrophyta;Ehrenberg, 1844
179616;Coscinodiscus perforatus var. pavillardii;phytoplankton;Ochrophyta;(Forti) Hust., 1928
163451;Coscinodiscus polychordus;phy;Ochrophyta;Gran, 1897
149158;Coscinodiscus radiatus;phy;Ochrophyta;Ehrenberg, 1840
162761;Coscinodiscus rothii;phy;Ochrophyta;(Ehrenberg) Grunow
573437;Coscinodiscus sol;phy;Ochrophyta;C.G.Wallich, 1860
975029;Coscinodiscus stellaris var. stellaris;phytoplankton;Ochrophyta;Roper, 1858
156632;Coscinodiscus wailesii;phy;Ochrophyta;Gran & Angst, 1931
150208;Coxliella;not;Ciliophora;Brandt
235759;Coxliella helix;not;Ciliophora;(ClaparËde & Lachmann, 1858)
254680;Cribroelphidium excavatum;foram;Foraminifera;(Terquem, 1875)
1026170;Cribroelphidium gunteri;foram;Foraminifera;(Cole, 1931)
1026169;Cribroelphidium williamsoni;foram;Foraminifera;(Haynes, 1973)
178617;Crucigenia;phy;Chlorophyta;Morren, 1830
235947;Cruciplacolithus neohelis;phy;Haptophyta;(McIntyre & BÈ) P.Reinhardt, 1972
118011;Cryothecomonas;phy;Cercozoa;Thomsen, Buck, Bolt & Garrison, 1991
118045;Cryothecomonas aestivalis;phy;Cercozoa;Drebes, K¸hn & Schnepf, 1996
118047;Cryothecomonas scybalophora;phy;Cercozoa;Thomsen, Buck, Bolt & Garrison, 1991
106282;Cryptomonas;phytoplankton;Cryptophyta;Ehrenberg, 1831
106297;Cryptomonas baltica;phy;Cryptophyta;(Karsten) Butcher, 1967
641230;Cryptomonas kielensis;phy;Cryptophyta;Pascher, 1911
248113;Cryptomonas pelagica;phytoplankton;Cryptophyta;Lohmann, 1902
163921;Ctenophora;phytoplankton;Ochrophyta;(Grunow) D.M.Williams & Round, 1986
1052658;Cuneus minutus;foram;Foraminifera;(Marsson, 1878)
144054;Cutleria;not;Ochrophyta;Greville, 1830
145297;Cutleria multifida;not;Ochrophyta;(Turner) Greville, 1830
177108;Cyanodictyon;cyano;Cyanobacteria;Pascher, 1914
707720;Cyanodictyon balticum;cyano;Cyanobacteria;Cronberg, 2003
177121;Cyanonephron;cyano;Cyanobacteria;Hickel, 1985
112348;Cyclammina;foram;Foraminifera;Brady, 1879
148905;Cyclotella;phytoplankton;Ochrophyta;(F.T. K¸tzing) A. de BrÈbisson, 1838
163196;Cyclotella caspia;phytoplankton;Ochrophyta;Grunow, 1878
148908;Cyclotella choctawhatcheeana;phytoplankton;Ochrophyta;Prasad, 1990
163202;Cyclotella distinguenda;phy;Ochrophyta;Hustedt, 1928
163197;Cyclotella hakanssoniae;phytoplankton;Ochrophyta;Wendker, 1991
148906;Cyclotella scaldensis;phytoplankton;Ochrophyta;Muylaert & Sabbe, 1996
341295;Cyclotrichium;not;Ciliophora;Meunier, 1910
144952;Cylindrocarpus microscopicus;not;Ochrophyta;P.L.Crouan & H.M.Crouan, 1851
149003;Cylindrotheca;phytoplankton;Ochrophyta;L. Rabenhorst, 1859
149004;Cylindrotheca closterium;phytoplankton;Ochrophyta;(Ehrenberg) Reimann & J.C.Lewin, 1964
149570;Cylindrotheca gracilis;phytoplankton;Ochrophyta;(BrÈbisson ex K¸tzing) Grunow, 1882
149007;Cymatopleura;phytoplankton;Ochrophyta;W. Smith, 1851
149011;Cymatosira;phytoplankton;Ochrophyta;A. Grunow, 1862
149012;Cymatosira belgica;phy;Ochrophyta;Grunow, 1881
179688;Cymatosira lorenziana;phy;Ochrophyta;Grunow, 1862
149538;Cymbella;phytoplankton;Ochrophyta;C.A. Agardh, 1830
109917;Cymbodinium elegans;phy;Myzozoa;J.Cachon & M.Cachon, 1967
134527;Cymbomonas;phytoplankton;Chlorophyta;J.Schiller, 1913
134545;Cymbomonas tetramitiformis;phytoplankton;Chlorophyta;Schiller, 1913
196830;Cystodinium;phy;Myzozoa;Klebs, 1912
145507;Cystoseira baccata;not;Ochrophyta;(S.G.Gmelin) P.C.Silva, 1952
145518;Cystoseira foeniculacea;not;Ochrophyta;(Linnaeus) Greville, 1830
145520;Cystoseira humilis;not;Ochrophyta;Schousboe ex K¸tzing, 1860
145526;Cystoseira nodicaulis;not;Ochrophyta;(Withering) M.Roberts, 1967
145536;Cystoseira tamariscifolia;not;Ochrophyta;(Hudson) Papenfuss, 1950
145537;Cystoseira usneoides;not;Ochrophyta;(Linnaeus) M.Roberts, 1968
149309;Dactyliosolen;phytoplankton;Ochrophyta;A.F. Castracane, 1886
179785;Dactyliosolen antarcticus;phytoplankton;Ochrophyta;Castracane, 1886
149310;Dactyliosolen fragilissimus;phytoplankton;Ochrophyta;(Bergon) Hasle, 1996
146579;Dactylococcopsis;cyano;Cyanobacteria;Hansgirg
341300;Daturella;not;Ciliophora;Kofoid & Campbell, 1929
145317;Delamarea attenuata;not;Ochrophyta;(Kjellman) Rosenvinge, 1893
149179;Delphineis;phytoplankton;Ochrophyta;G.W. Andrews, 1977
149180;Delphineis surirella;phy;Ochrophyta;(Ehrenberg) G.W.Andrews, 1981
112217;Dentalina;foram;Foraminifera;Risso, 1826
1027796;Dentalina raristriata;foram;Foraminifera;(Chapman, 1893)
991785;Dentalina sulcata;foram;Foraminifera;(Nilsson, 1826)
162983;Denticella turgida;phytoplankton;Ochrophyta;Ehrenberg, 1840
144462;Derbesia marina;not;Chlorophyta;(Lyngbye) Solier, 1846
144464;Derbesia tenuissima;not;Chlorophyta;(Moris & De Notaris) P.Crouan & H.Crouan, 1867
105532;Desmarella;not;Choanozoa;W.S.Kent, 1878
105636;Desmarella moniliformis;not;Choanozoa;W.S.Kent, 1878
145307;Desmarestia aculeata;not;Ochrophyta;(Linnaeus) J.V.Lamouroux, 1813
145308;Desmarestia dresnayi;not;Ochrophyta;J.V.Lamouroux ex LÈman, 1819
145309;Desmarestia ligulata;not;Ochrophyta;(Stackhouse) J.V.Lamouroux, 1813
503730;Desmarestia pinnatinervia;not;Ochrophyta;Montagne, 1842
145310;Desmarestia viridis;not;Ochrophyta;(O.F.M¸ller) J.V.Lamouroux, 1813
249711;Desmodesmus;phy;Chlorophyta;(R.Chodat) S.S.An, T.Friedl & E.Hegewald, 1999
149285;Detonula;phytoplankton;Ochrophyta;F. Sch¸tt ex G.B. De Toni, 1894
105513;Diaphanoeca;not;Choanozoa;W.Ellis, 1930
105571;Diaphanoeca grandis;not;Choanozoa;Ellis, 1930
105573;Diaphanoeca pedicellata;not;Choanozoa;Leadbeater, 1972
105574;Diaphanoeca sphaerica;not;Choanozoa;Thomsen, 1982
149013;Diatoma;phytoplankton;Ochrophyta;J.B.M. Bory de Saint-Vincent, 1824
232110;Dicroerisma psilonereiella;phytoplankton;Myzozoa;F.J.R.Taylor & S.A.Cattell, 1969
157258;Dictyocha;phytoplankton;Ochrophyta;Ehrenberg, 1837
375788;Dictyocha crux;phytoplankton;Ochrophyta;Ehrenberg, 1840
157463;Dictyocha fibula;phytoplankton;Ochrophyta;Ehrenberg, 1839
196834;Dictyocysta;phy;Ciliophora;Ehrenberg, 1854
145360;Dictyopteris polypodioides;not;Ochrophyta;(A.P.De Candolle) J.V.Lamouroux, 1809
144067;Dictyosiphon;not;Ochrophyta;Greville, 1830
145319;Dictyosiphon chordaria;not;Ochrophyta;Areschoug, 1847
145321;Dictyosiphon ekmanii;not;Ochrophyta;Areschoug, 1875
145322;Dictyosiphon foeniculaceus;not;Ochrophyta;(Hudson) Greville, 1830
178623;Dictyosphaerium;phy;Chlorophyta;N‰geli, 1849
145367;Dictyota dichotoma;not;Ochrophyta;(Hudson) J.V.Lamouroux, 1809
145371;Dictyota implexa;not;Ochrophyta;(Desfontaines) J.V.Lamouroux, 1809
145379;Dictyota spiralis;not;Ochrophyta;Montagne, 1846
341301;Didinium;not;Ciliophora;Stein, 1859
417328;Didinium nasutum;not;Ciliophora;(M¸ller, 1773) Stein, 1859
164021;Didymosphenia;phytoplankton;Ochrophyta;M. Schmidt in A. Schmidt et al., 1899
163233;Dimeregramma;phytoplankton;Ochrophyta;J. Ralfs in A. Pritchard, 1861
163234;Dimeregramma minor;phytoplankton;Ochrophyta;(Gregory) Ralfs in Pritchard, 1861
110653;Dinematomonas litorale;phy;Euglenozoa;(Skuja) Silva, 1960
157240;Dinobryon;phytoplankton;Ochrophyta;Ehrenberg, 1834
160552;Dinobryon balticum;phytoplankton;Ochrophyta;(Sch¸tt) Lemmermann, 1901
160553;Dinobryon faculiferum;phytoplankton;Ochrophyta;(WillÈn) WillÈn, 1992
157252;Dinobryon sertularia;phytoplankton;Ochrophyta;Ehrenberg, 1834
109462;Dinophysis;phytoplankton;Myzozoa;Ehrenberg, 1839
109603;Dinophysis acuminata;phy;Myzozoa;ClaparËde & Lachmann, 1859
109604;Dinophysis acuta;phy;Myzozoa;Ehrenberg, 1839
232161;Dinophysis arctica;phy;Myzozoa;Mereschkowsky, 1879
109610;Dinophysis baltica;phy;Myzozoa;(Paulsen) Kofoid & Skogsberg, 1928
109612;Dinophysis caudata;phy;Myzozoa;Saville-Kent, 1881
109616;Dinophysis dens;phytoplankton;Myzozoa;Pavillard, 1915
109624;Dinophysis fortii;phy;Myzozoa;Pavillard, 1924
109627;Dinophysis hastata;phytoplankton;Myzozoa;F.Stein, 1883
627604;Dinophysis irregulare;phy;Myzozoa;(Lebour) Balech
232496;Dinophysis nasuta;phytoplankton;Myzozoa;(Stein) Parke & Dixon, 1968
109637;Dinophysis norvegica;phy;Myzozoa;ClaparËde & Lachmann, 1859
109638;Dinophysis odiosa;phytoplankton;Myzozoa;(Pavillard) Tai & Skogsberg, 1934
646201;Dinophysis ovum;phytoplankton;Myzozoa;(F.Sch¸tt) T.H.AbÈ
109649;Dinophysis pulchella;phy;Myzozoa;(Lebour) Balech, 1967
109651;Dinophysis punctata;phytoplankton;Myzozoa;Jˆrgensen, 1923
162793;Dinophysis rotundata;phytoplankton;Myzozoa;ClaparËde & Lachmann, 1859
232261;Dinophysis sacculus;phy;Myzozoa;F.Stein, 1883
232273;Dinophysis semen;phy;Myzozoa;Meunier, 1910
109662;Dinophysis tripos;phy;Myzozoa;Gourret, 1883
149018;Diploneis;phytoplankton;Ochrophyta;(C. G. Ehrenberg) P.T. Cleve, 1894
149194;Diploneis bombus;phy;Ochrophyta;(Ehrenberg) Ehrenberg, 1853
164085;Diploneis stroemii;phytoplankton;Ochrophyta;Hustedt, 1937
601568;Diplonema;cyano;Cyanobacteria;BorzÌ, 1917
146181;Diplonema ambulator;phy;Euglenozoa;Larsen & Patterson, 1990
146175;Diplonema breviciliatum;phy;Euglenozoa;K.Griessmann, 1913
109535;Diplopelta;phytoplankton;Myzozoa;Stein ex Jˆrgensen, 1912
110131;Diplopelta asymmetrica;phytoplankton;Myzozoa;(Mangin) Balech
110133;Diplopelta bomba;phy;Myzozoa;Stein ex J¯rgensen, 1912
110134;Diplopelta pusilla;phy;Myzozoa;Balech & R.Akselman, 1988
109515;Diplopsalis;phytoplankton;Myzozoa;Bergh, 1881
110001;Diplopsalis lenticula;phy;Myzozoa;Bergh, 1881
109537;Diplopsalopsis;phytoplankton;Myzozoa;Meunier, 1910
155560;Diplopsalopsis bomba;phytoplankton;Myzozoa;(Stein) J.D.Dodge & S.Toriumi, 1993
110138;Diplopsalopsis latipeltata;phytoplankton;Myzozoa;Balech & Borgese, 1990
110139;Diplopsalopsis orbicularis;phy;Myzozoa;(Paulsen) Meunier, 1910
110324;Dissodinium pseudocalani;phy;Myzozoa;(Gonnert) Drebes ex Elbrachter & Drebes, 1978
110325;Dissodinium pseudolunula;phy;Myzozoa;Swift ex Elbr‰chter & Drebes, 1978
577366;Distephanus speculum f. septenarius;phy;Ochrophyta;(Ehrenberg) S.Locker & E.Martini
178591;Distigma;phy;Euglenozoa;Ehrenberg, 1831
149022;Ditylum;phytoplankton;Ochrophyta;J.W. Bailey ex L.W. Bailey, 1861
149023;Ditylum brightwellii;phy;Ochrophyta;(T.West) Grunow, 1885
134530;Dolichomastix;phy;Chlorophyta;Manton, 1977
149510;Donkinia;phytoplankton;Ochrophyta;J. Ralfs in A. Pritchard, 1861
112416;Dorothia;foram;Foraminifera;Plummer, 1931
1030699;Dorothia irregularis;foram;Foraminifera;(Marsson, 1878)
179990;Druridgea compressa;phytoplankton;Ochrophyta;(T.West) Hustedt, 1928
601282;Duboscquella;phy;Myzozoa;Chatton, 1920
841287;Durinskia dybowskii;phy;Myzozoa;(Woloszynska) Carty, 2014
118014;Ebria;phytoplankton;NA;Borgert, 1891
118051;Ebria tripartita;phy;NA;(J.Schumann) Lemmermann, 1899
144099;Ectocarpus;not;Ochrophyta;Lyngbye, 1819
503361;Ectocarpus acanthophorus;not;Ochrophyta;K¸tzing
551800;Ectocarpus confervoides var. hiemalis;not;Ochrophyta;(Foslie) Farlow
552841;Ectocarpus confervoides var. longipes;not;Ochrophyta;Harvey
